NAME,1,2,3,4,5,6,7,8,9
Academic Writing 42U (PA) 10:00-11:15,N,N,N,N,N,N,PA,N,N
Business 42U 16:00-17:15,N,N,N,N,TBD,N,N,N,N
Calculus 42U 11:30-12:20,N,N,TBD,N,N,N,N,N,N
Chemistry 42U (RP) 8:30-9:20,RP,N,N,N,N,N,N,N,N
Choral Ensemble 42U (MSt) 16:00-18:00,N,N,N,N,N,N,N,N,MSt
Conflict Res. 42U (MMac) 13:30-14:20,N,N,N,TBD,N,N,N,N,N
Economics 42U 9:30-10:20,N,TBD,N,N,N,N,N,N,N
English 42U (BT) 10:30-11:20,N,BT,N,N,N,N,N,N,N
Ensemble practicum-Instrumental 42U (MSt) 17:00-19:00,N,N,N,N,MSt,N,N,N,N
Geography 42U (JJ) 8:30-9:20,JJ,N,N,N,N,N,N,N,N
Global Citizenship 42U 9:30-10:20,N,TBD,N,N,N,N,N,N,N
Intro Arabic 42U (TBD) 16:00-17:15,N,N,N,N,N,N,N,N,TBD
Intro Chinese 42U (TBD) 14:30-15:45,N,N,N,N,N,N,N,TBD,N
Intro Japanese 42U (TBD) 9:30-10:20,N,TBD,N,N,N,N,N,N,N
Intro Korean 42U (TBD) 16:00-17:15,N,N,N,N,TBD,N,N,N,N
Intro to Uni 42U (PA) 14:30-15:45,N,N,N,N,N,N,N,PA,N
Kinesiology 42U (TBD) 1:30-2:20,N,N,N,TBD,N,N,N,N,N
Music Appreciation 42U (MSt) 16:00-17:30,N,N,N,N,N,N,N,N,MSt
Philosophy 42U (KZ) 13:30-14:20,N,N,N,KZ,N,N,N,N,N
Physics 42U (Calculus) (TBD) 13:30-14:20,N,N,N,TBD,N,N,N,N,N
Physics 42U (Algebra) (TBD) 9:30-10:20,N,TBD,N,N,N,N,N,N,N
Programming 42U (EH) 13:00-14:15,N,N,N,EH,N,N,N,N,N
Religion 42U (KZ) 11:30-12:20,N,N,KZ,N,N,N,N,N,N
