NAME,1,2,3,4,5,6,7,8,9
Art 10S,SM,N,N,N,SM,N,SM,N,N
Band - Advanced 10S,N,N,N,N,N,N,MSt,N,N
Band - Fundamentals 10S,N,N,N,N,MSt,N,N,N,N
Choral 10S,N,N,N,N,N,N,N,MSt,N
English 10F,N,CM,N,N,PA,N,TC,N,N
Français 10F,N,N,N,N,DR,N,N,N,N
French 10F,N,N,N,N,N,DR,N,DR,N
Jazz Ensemble 10S,N,N,N,MSt,N,N,N,N,N
Mathematics 10F,N,MM,N,AR,N,N,AR,N,N
Physical Education 10F,EM,EM,EM,N,N,EM,EM,N,N
Physical Education 10F - FF,N,N,N,MC,N,N,N,N,MC
Science 10F,N,N,KT,N,N,SK,N,AR,N
Social Studies 10F,MG,N,N,MS,N,N,TBD,N,N
