NAME,1,2,3,4,5,6,7,8,9
American History 20S,N,N,N,N,N,N,N,Y,N
Art 20S,Y,Y,N,N,N,N,Y,N,N
Band - Instrumental 20S,N,N,N,N,N,N,Y,N,N
Choral 20S,N,N,N,N,N,N,N,Y,N
Computer Science 20S,N,Y,N,N,N,Y,N,N,N
Debate 21G,Y,N,N,N,N,N,N,N,N
Digital Media I,N,N,Y,N,Y,N,N,N,N
Dramatic Arts 20S,Y,N,N,N,N,N,N,N,N
English 20F,Y,N,N,Y,Y,Y,N,N,N
Francais 20F,N,N,N,N,Y,N,N,N,N
French 20F,N,N,N,N,N,N,Y,N,N
Geography 20F,N,N,Y,Y,N,N,Y,N,N
Jazz Ensemble 20S,N,N,N,Y,N,N,N,N,N
Life Works 20S,N,N,N,N,N,N,N,Y,N
Math - Applied/Pre-Calculus 20S,N,Y,Y,Y,N,N,N,Y,N
Physical Education 20F,Y,Y,Y,N,N,Y,Y,N,N
Physical Education 20F - FF,N,N,N,N,N,N,N,Y,N
Science 20F,N,Y,N,N,Y,N,Y,Y,N
Spanish 20F,N,N,N,N,N,Y,N,N,N
